text,polarity,subjectivity,Date,retweet count
"So more proof coming of the #BalakotAirStrike #WarAgainstTerrorism #IndiaStrikesBack #surgicalstrike2 
Bit the imp... https://t.co/lpH4u5X6Hw",0.5,0.5,2019-03-02 17:23:44,1
"RT @RavinarIN: #JaishEKejriwal is right.... Hes very much like a ""mooh-bola"" son of #MasoodAzharDEAD considering he provides so much propag...",0.24857142857142858,0.3319047619047619,2019-03-02 17:23:44,91
"RT @RavinarIN: #JaishEKejriwal is right.... Hes very much like a ""mooh-bola"" son of #MasoodAzharDEAD considering he provides so much propag...",0.24857142857142858,0.3319047619047619,2019-03-02 17:15:36,91
RT @brahmavaakya: #MasoodAzharDEAD was a coward. One slap from an Indian army officer and he started crying like a little girl ,-0.19375,0.55,2019-03-02 17:13:25,2
RT @brahmavaakya: #MasoodAzharDEAD cried like a bitch when slapped by an Indian army officer. https://t.co/8QEUy7n5Nc,0.0,0.0,2019-03-02 17:13:17,6
"RT @the_hirenT: #MasoodAzharDEAD, This is just cover up.

Too embarrassed to admit that guy got vanished like a poof https://t.co/TLMYyoGmd1",0.0,0.0,2019-03-02 17:11:38,5
RT @burkhabutt: @amtgpt2008 @RavinarIN @ImranKhanPTI @IAF_MCC @PMOIndia @TimesNow @republic @ippatel My sources with @MamataOfficial @Arvin...,0.0,0.0,2019-03-02 17:09:39,12
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 17:08:39,30
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 17:08:07,30
"#MasoodAzharDEAD, This is just cover up.

Too embarrassed to admit that guy got vanished like a poof https://t.co/TLMYyoGmd1",0.0,0.0,2019-03-02 17:01:42,5
"RT @AYogesa: #PakPremiPatrakaar #presstitutes gave all private and personal information of #WingCommanderAbhinandan 
Was that @ndtv ?
Is #M...",0.0,0.3375,2019-03-02 16:59:00,2
#MasoodAzharDEAD is what Imran Khan will not declare for the next 10 days.,0.0,0.0,2019-03-02 16:56:58,0
"#PakPremiPatrakaar #presstitutes gave all private and personal information of #WingCommanderAbhinandan 
Was that... https://t.co/kmqc0xWnYV",0.0,0.3375,2019-03-02 16:56:56,2
Even if untrue not so bad rumour to spread  #MasoodAzharDEAD Pak need to dig him out of his rat hole to deny and save face,-0.6999999999999998,0.6666666666666666,2019-03-02 16:54:36,7
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 16:54:16,30
RT @brahmavaakya: #MasoodAzharDEAD cried like a bitch when slapped by an Indian army officer. https://t.co/8QEUy7n5Nc,0.0,0.0,2019-03-02 16:53:44,6
RT @Egodoc2: Masood Azhar reportedly dead in #Surgicalstrike2 #MasoodAzharDEAD,-0.2,0.4,2019-03-02 16:53:39,6
"RT @oumbharti: .@ImranKhanPTI
#ImranKhan Plz confirm or deny like a true #Pathan aleays speaking #Truth, #MasoodAzhar is dead? If alive sho...",0.08333333333333333,0.4833333333333334,2019-03-02 16:52:31,3
RT @Yajna_valkya: Stop bluffing Pakis...we all know the truth #MasoodAzharDEAD,0.0,0.0,2019-03-02 16:52:22,1
RT @deepakthakku: @Javedakhtarjadu @TarekFatah Azhar is dead. He got killed in Balakot air strike by IAF. Pakistan feels ashamed to reveal...,-0.2,0.2,2019-03-02 16:52:10,25
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 16:52:08,30
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 16:52:05,30
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 16:51:09,30
"RT @GreatHeretic: Press release from #Jannat #MasoodAzhar enjoying with hoors.

#MasoodAzharDEAD https://t.co/ONtP08nTrj",0.5,0.6,2019-03-02 16:51:04,97
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 16:50:22,30
"We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of... https://t.co/R0MUEmzdsI",-0.12187500000000001,0.825,2019-03-02 16:49:17,30
"RT @pandeyunlimited: Please retweet, if you think Masood Azhar is actually dead (about to die) in #Surgicalstrike2  and Pakistan is trying...",-0.2,0.4,2019-03-02 16:48:00,15
RT @charlsdextward: Seems like #MasoodAzharDEAD in the balakot attack. Could not be saved in the hospital.,0.0,0.0,2019-03-02 16:46:44,2
@Javedakhtarjadu @TarekFatah Azhar is dead. He got killed in Balakot air strike by IAF. Pakistan feels ashamed to r... https://t.co/N9Wt2YHD1m,-0.2,0.2,2019-03-02 16:46:32,25
"RT @pandeyunlimited: Please retweet, if you think Masood Azhar is actually dead (about to die) in #Surgicalstrike2  and Pakistan is trying...",-0.2,0.4,2019-03-02 16:46:30,15
"RT @oumbharti: @squintneon .@ImranKhanPTI
#ImranKhan Plz confirm or deny like a true #Pathan aleays speaking #Truth, #MasoodAzhar is dead?...",0.07499999999999998,0.525,2019-03-02 16:46:14,2
"RT @oumbharti: .@ImranKhanPTI
#ImranKhan Plz confirm or deny like a true #Pathan aleays speaking #Truth, #MasoodAzhar is dead? If alive sho...",0.08333333333333333,0.4833333333333334,2019-03-02 16:45:43,3
Stop bluffing Pakis...we all know the truth #MasoodAzharDEAD,0.0,0.0,2019-03-02 16:45:32,1
".@ImranKhanPTI
#ImranKhan Plz confirm or deny like a true #Pathan aleays speaking #Truth, #MasoodAzhar is dead? If... https://t.co/esyERJWqQs",0.07499999999999998,0.525,2019-03-02 16:45:31,3
"RT @oumbharti: @squintneon .@ImranKhanPTI
#ImranKhan Plz confirm or deny like a true #Pathan aleays speaking #Truth, #MasoodAzhar is dead?...",0.07499999999999998,0.525,2019-03-02 16:45:06,2
"@squintneon .@ImranKhanPTI
#ImranKhan Plz confirm or deny like a true #Pathan aleays speaking #Truth, #MasoodAzhar... https://t.co/KyQqlx50Q1",0.35,0.65,2019-03-02 16:44:44,2
RT @Egodoc2: Masood Azhar reportedly dead in #Surgicalstrike2 #MasoodAzharDEAD,-0.2,0.4,2019-03-02 16:43:44,6
RT @amtgpt2008: @RavinarIN @ImranKhanPTI @IAF_MCC @PMOIndia @TimesNow @republic The complete silence of #MasoodAzhar after #IndianAirForce...,0.1,0.4,2019-03-02 16:43:23,30
RT @brahmavaakya: #MasoodAzharDEAD cried like a bitch when slapped by an Indian army officer. https://t.co/8QEUy7n5Nc,0.0,0.0,2019-03-02 16:43:16,6
"RT @GreatHeretic: Press release from #Jannat #MasoodAzhar enjoying with hoors.

#MasoodAzharDEAD https://t.co/ONtP08nTrj",0.5,0.6,2019-03-02 16:43:15,97
