text,polarity,subjectivity,Date,retweet count
rt AT_USER is it true masood azhar died in indian air strike in balakot? and pakistan is using illness to hide its face in pakistan a...,0.35,0.65,2019-03-02 16:31:27,3
rt AT_USER it appears masood azhar is killed in indian strike (probably a covert operation or he was at balakot during air strike...,-0.2,0.0,2019-03-02 16:31:17,51
rt AT_USER press release from jannat masoodazhar enjoying with hoors. masoodazhardead URL,0.5,0.6,2019-03-02 16:31:11,97
rt AT_USER the only one who praised barkha for her journalism is dead now. ab kaun compliments dega? masoodazhardead,-0.1,0.7,2019-03-02 16:31:07,44
"26th feb iaf bombs jem training camp. 27th feb ambulances at jem camp, personally supervided by masood azar 02nd... URL",0.0,0.3,2019-03-02 16:30:19,4
"rt AT_USER jaishekejriwal is right.... hes very much like a ""mooh-bola"" son of masoodazhardead considering he provides so much propag...",0.24857142857142855,0.3319047619047619,2019-03-02 16:20:49,91
"rt AT_USER jaishekejriwal is right.... hes very much like a ""mooh-bola"" son of masoodazhardead considering he provides so much propag...",0.24857142857142855,0.3319047619047619,2019-03-02 16:16:15,91
the only one who praised barkha for her journalism is dead now. ab kaun compliments dega? masoodazhardead,-0.1,0.7,2019-03-02 16:15:57,44
"rt AT_USER jaishekejriwal is right.... hes very much like a ""mooh-bola"" son of masoodazhardead considering he provides so much propag...",0.24857142857142855,0.3319047619047619,2019-03-02 16:15:40,91
plz ask pakistan if masoodazhardead ? surgicalstrike2 AT_USER AT_USER AT_USER AT_USER AT_USER URL,0.0,0.0,2019-03-02 16:12:42,1
rt AT_USER is it true masood azhar died in indian air strike in balakot? and pakistan is using illness to hide its face in pakistan a...,0.35,0.65,2019-03-02 16:12:41,3
"rt AT_USER jaishekejriwal is right.... hes very much like a ""mooh-bola"" son of masoodazhardead considering he provides so much propag...",0.24857142857142855,0.3319047619047619,2019-03-02 16:10:58,91
"rt AT_USER please retweet, if you think masood azhar is actually dead (about to die) in surgicalstrike2 and pakistan is trying...",-0.2,0.4,2019-03-02 16:08:43,15
is it true masood azhar died in indian air strike in balakot? and pakistan is using illness to hide its face in pak... URL,0.35,0.65,2019-03-02 16:06:02,3
press release from jannat masoodazhar enjoying with hoors. masoodazhardead URL,0.5,0.6,2019-03-02 16:05:02,97
rt AT_USER pakistan is making plot to declare masoodazhardead. they also make a fake yt channel 1 hour ago and started posting old...,-0.2,0.6,2019-03-02 16:04:19,12
AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER URL,0.0,0.0,2019-03-02 16:02:50,1
"rt AT_USER please retweet, if you think masood azhar is actually dead (about to die) in surgicalstrike2 and pakistan is trying...",-0.2,0.4,2019-03-02 15:59:01,15
"rt AT_USER jaishekejriwal is right.... hes very much like a ""mooh-bola"" son of masoodazhardead considering he provides so much propag...",0.24857142857142855,0.3319047619047619,2019-03-02 15:56:18,91
"rt AT_USER jaishekejriwal is right.... hes very much like a ""mooh-bola"" son of masoodazhardead considering he provides so much propag...",0.24857142857142855,0.3319047619047619,2019-03-02 15:53:46,91
AT_USER AT_USER AT_USER AT_USER AT_USER it appears masood azhar is killed in indian st... URL,-0.2,0.0,2019-03-02 15:51:11,5
AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER let pakistan produce him alive to coun... URL,0.1,0.4,2019-03-02 15:50:26,1
"please retweet, if you think masood azhar is actually dead (about to die) in surgicalstrike2 and pakistan is tryi... URL",-0.2,0.4,2019-03-02 15:47:42,15
rt AT_USER pakistan is making plot to declare masoodazhardead. they also make a fake yt channel 1 hour ago and started posting old...,-0.2,0.6,2019-03-02 15:47:14,12
rt AT_USER AT_USER AT_USER sir masoodazhardead . this one is a camouflage. how could a foreign minister's tongue sli...,-0.125,0.125,2019-03-02 15:47:08,2
"rt AT_USER jaishekejriwal is right.... hes very much like a ""mooh-bola"" son of masoodazhardead considering he provides so much propag...",0.24857142857142855,0.3319047619047619,2019-03-02 15:43:50,91
rt AT_USER pakistan is making plot to declare masoodazhardead. they also make a fake yt channel 1 hour ago and started posting old...,-0.2,0.6,2019-03-02 15:43:40,12
"rt AT_USER jaishekejriwal is right.... hes very much like a ""mooh-bola"" son of masoodazhardead considering he provides so much propag...",0.24857142857142855,0.3319047619047619,2019-03-02 15:42:27,91
AT_USER AT_USER sir masoodazhardead . this one is a camouflage. how could a foreign minister's ton... URL,-0.125,0.125,2019-03-02 15:40:05,2
pakistan is making plot to declare masoodazhardead. they also make a fake yt channel 1 hour ago and started postin... URL,-0.5,1.0,2019-03-02 15:35:02,12
rt AT_USER can crow eater AT_USER or isis poop swimmer AT_USER AT_USER confirm or take interview of masoodazhardead ? AT_USER,0.0,0.0,2019-03-02 15:32:23,14
"rt AT_USER jaishekejriwal is right.... hes very much like a ""mooh-bola"" son of masoodazhardead considering he provides so much propag...",0.24857142857142855,0.3319047619047619,2019-03-02 15:30:33,91
rt AT_USER did masood azhar die in the iaf strike on balakot? is the pakistan establishment working towards the 'soft landing...,0.1,0.35,2019-03-02 15:28:34,19
rt AT_USER did masood azhar die in the iaf strike on balakot? is the pakistan establishment working towards the 'soft landing...,0.1,0.35,2019-03-02 15:27:05,19
rt AT_USER masoodazhardead can goi AT_USER AT_USER please confirm?. our media houses doesn't do any investigation anymore AT_USER,0.0,0.0,2019-03-02 15:25:59,2
rt AT_USER can crow eater AT_USER or isis poop swimmer AT_USER AT_USER confirm or take interview of masoodazhardead ? AT_USER,0.0,0.0,2019-03-02 15:25:45,14
rt AT_USER did masood azhar die in the iaf strike on balakot? is the pakistan establishment working towards the 'soft landing...,0.1,0.35,2019-03-02 15:25:30,19
"rt AT_USER AT_USER maulana masood azhar, was an ""easy man"" to handle in custody and he got shaken up on the first ""slap"" .........",0.3416666666666667,0.5833333333333334,2019-03-02 15:21:44,3
rt AT_USER it appears masood azhar is killed in indian strike (probably a covert operation or he was at balakot during air strike...,-0.2,0.0,2019-03-02 15:21:29,51
